"";"RSAL";"RGALLER";"REARING_NUMBER";"LEG";"N_GALLS";"N_CLEAN GALLS";"N_REAL GALLS";"PARASITISED_GALLS";"UNPARASITISED_GALLS";"TOTAL_PARASITISM RATE"
"946";"Sal1";"Okriec";"199914A1-V1Okriec";"19.07.99";133;0;133;64;69;0,481203008
"947";"Sal10";"Ovimin";"199914A-BOvimin";"06.07.99";7;0;7;3;4;0,428571429
"948";"Sal10";"Ovimin";"199914D-IOvimin";"05.07.99";24;0;24;13;11;0,541666667
"949";"Sal1";"Okriec";"199914K-WOkriec";"19.07.99";63;0;63;30;33;0,476190476
"950";"Sal10";"Ovesic";"199914X-ZOvesic";"19.07.99";14;0;14;3;11;0,214285714
"951";"Sal19";"Onigri";"199915A-16NOnigri";"29.07.99";239;0;239;231;8;0,966527197
"952";"Sal1";"Okriec";"199923A1-F1Okriec";"21.07.99";30;0;30;19;11;0,633333333
"953";"Sal10";"Ovimin";"199923A-GOvimin";"20.07.99";37;0;37;22;15;0,594594595
"954";"Sal10";"Ovimin";"199923G1-S1Ovimin";"20.07.99";55;0;55;42;13;0,763636364
"955";"Sal1";"Okriec";"199923H-POkriec";"20.07.99";44;0;44;21;23;0,477272727
"956";"Sal10";"Ovimin";"199923Q-ZOvimin";"20.07.99";55;0;55;48;7;0,872727273
"957";"Sal1";"Okriec";"199924A-25SOkriec";"20.07.99";379;0;379;249;130;0,656992084
"958";"Sal10";"Ovesic";"199925A1-E1Ovesic";"20.07.99";11;0;11;1;10;0,090909091
"959";"Sal36";"Evenus";"199925G1-L1Evenus";"18.07.99";17;0;17;14;3;0,823529412
"960";"Sal10";"Ovimin";"199925T-YOvimin";"20.07.99";29;0;29;21;8;0,724137931
"961";"Sal1";"Okriec";"199926A-27NOkriec";"30.08.99";296;0;296;139;157;0,469594595
"962";"Sal22";"Obrevi";"199927O1-28GObrevi";"01.09.99";52;0;52;31;21;0,596153846
"963";"Sal10";"Ovimin";"199927P-WOvimin";"30.08.99";42;0;42;39;3;0,928571429
"964";"Sal10";"Ovesic";"199927Y-M1Ovesic";"31.08.99";89;0;89;15;74;0,168539326
"965";"Sal3";"Ovaria";"199928I-30ZOvaria";"01.09.99";492;0;492;187;305;0,380081301
"966";"Sal4";"Ofoeti";"199930A1-Q1Ofoeti";"01.09.99";77;0;77;48;29;0,623376623
"967";"Sal4";"Oobscu";"199930R1-31AOobscu";"01.09.99";43;0;43;33;10;0,76744186
"968";"Sal4";"Ofoeti";"199931C-I1Ofoeti";"01.09.99";157;0;157;81;76;0,515923567
"969";"Sal4";"Oobscu";"199931K1-N1Oobscu";"01.09.99";20;0;20;12;8;0,6
"970";"Sal22";"Obrevi";"199932A-J1Obrevi";"01.09.99";182;0;182;149;33;0,818681319
"971";"Sal2";"Obridg";"199932L1-N1Obridg";"02.09.99";17;0;17;9;8;0,529411765
"972";"Sal3";"Ovaria";"199932P1-33ROvaria";"02.09.99";127;0;127;93;34;0,732283465
"973";"Sal4";"Ofoeti";"199933D1-N1Ofoeti";"02.09.99";43;0;43;6;37;0,139534884
"974";"Sal4";"Ofoeti";"199933P1-U1Ofoeti";"02.09.99";21;0;21;5;16;0,238095238
"975";"Sal22";"Obrevi";"199933T-B1Obrevi";"02.09.99";45;0;45;30;15;0,666666667
"976";"Sal4";"Oobscu";"199934A-BOobscu";"02.09.99";12;0;12;8;4;0,666666667
"977";"Sal4";"Ofoeti";"199934D-SOfoeti";"03.09.99";56;0;56;14;42;0,25
"978";"Sal4";"Oobscu";"199934U-35IOobscu";"03.09.99";202;0;202;131;71;0,648514851
"979";"Sal24";"Oretus";"199935A1-V1Oretus";"03.09.99";93;0;93;61;32;0,655913978
"980";"Sal22";"Obrevi";"199935K-YObrevi";"03.09.99";69;0;69;18;51;0,260869565
"981";"Sal4";"Ofoeti";"199936A-GOfoeti";"03.09.99";33;0;33;17;16;0,515151515
"982";"Sal22";"Obrevi";"199936I-PObrevi";"03.09.99";40;0;40;6;34;0,15
"983";"Sal4";"Ofoeti";"199936R-TOfoeti";"03.09.99";16;0;16;2;14;0,125
"984";"Sal37";"Opedun";"199936T1-V1Opedun";"25.08.99";25;0;25;12;13;0,48
"985";"Sal4";"Oobscu";"199936V-S1Oobscu";"03.09.99";133;0;133;39;94;0,293233083
"986";"Sal23";"Oretic";"199937A-V1Oretic";"03.09.99";151;0;151;53;98;0,350993377
"987";"Sal4";"Egemmf";"199938A1-D1Egemmf";"01.09.99";20;0;20;15;5;0,75
"988";"Sal4";"Egemmf";"199938A-JEgemmf";"03.09.99";44;0;44;19;25;0,431818182
"989";"Sal4";"Egemmf";"199938F1-M1Egemmf";"01.09.99";38;0;38;32;6;0,842105263
"990";"Sal4";"Egemmf";"199938L-M1Egemmf";"01.09.99";109;0;109;34;75;0,311926606
"991";"Sal6";"Edaphn";"199938O1-T1Edaphn";"31.08.99";27;0;27;18;9;0,666666667
"992";"Sal18";"Enigri";"199942A-HEnigri";"30.08.99";46;4;42;27;15;0,642857143
"993";"Sal18";"Enigri";"199942F-HEnigri";"30.08.99";37;2;35;24;11;0,685714286
"994";"Sal11";"Oproxi";"199943A-V1Oproxi";"13.09.99";268;0;268;223;45;0,832089552
"995";"Sal34";"Oproxi";"199944A-V1Oproxi";"14.09.99";259;4;255;169;86;0,662745098
"996";"Sal34";"Oproxi";"199945A-F1Oproxi";"13.09.99";164;22;142;47;95;0,330985915
"997";"Sal34";"Oproxi";"199945G1-46OOproxi";"14.09.99";178;0;178;147;31;0,825842697
"998";"Sal26";"Otrian";"199946Q-ROtrian";"14.09.99";10;0;10;3;7;0,3
"999";"Sal11";"Oproxi";"199946T-XOproxi";"13.09.99";31;0;31;29;2;0,935483871
"1000";"Sal11";"Oproxi";"199948A-F1Oproxi";"28.09.99";167;5;162;33;129;0,203703704
"1001";"Sal31";"Hangli";"1999SZ04Hangli";"30.06.99";5;1;4;0;4;0
"1002";"Sal11";"Hoblit";"1999SZ05Hoblit";"28.06.99";27;11;16;0;16;0
"1003";"Sal38";"Hangli";"1999SZ06Hangli";"29.06.99";19;1;18;0;18;0
"1004";"Sal34";"Hoblit";"1999SZ07Hoblit";"29.06.99";4;0;4;0;4;0
"1005";"Sal31";"Hangli";"1999SZ08Hangli";"01.07.99";184;5;179;3;176;0,016759777
"1006";"Sal34";"Hoblit";"1999SZ09Hoblit";"29.06.99";1;0;1;0;1;0
"1007";"Sal34";"Hoblit";"1999SZ10Hoblit";"29.06.99";4;0;4;0;4;0
"1008";"Sal12";"Hoblit";"1999SZ11aHoblit";"28.06.99";12;3;9;0;9;0
"1009";"Sal34";"Hoblit";"1999SZ11Hoblit";"28.06.99";11;5;6;0;6;0
"1010";"Sal11";"Hoblit";"1999SZ12Hoblit";"28.06.99";8;2;6;0;6;0
"1011";"Sal12";"Hoblit";"1999SZ13Hoblit";"28.06.99";5;1;4;1;3;0,25
"1012";"Sal34";"Hoblit";"1999SZ14Hoblit";"29.06.99";3;0;3;0;3;0
"1013";"Sal12";"Hoblit";"1999SZ15Hoblit";"28.06.99";6;2;4;0;4;0
"1014";"Sal34";"Hoblit";"1999SZ16Hoblit";"29.06.99";7;0;7;1;6;0,142857143
"1015";"Sal31";"Hangli";"1999SZ17Hangli";"01.07.99";30;3;27;0;27;0
"1016";"Sal31";"Hangli";"1999SZ18Hangli";"01.07.99";62;4;58;1;57;0,017241379
"1017";"Sal31";"Hangli";"1999SZ19Hangli";"30.06.99";17;3;14;0;14;0
"1018";"Sal31";"Hangli";"1999SZ20Hangli";"30.06.99";37;6;31;1;30;0,032258065
"1019";"Sal31";"Hangli";"1999SZ21Hangli";"30.06.99";24;1;23;0;23;0
"1020";"Sal31";"Hangli";"1999SZ22Hangli";"29.06.99";12;2;10;0;10;0
"1021";"Sal31";"Hangli";"1999SZ23Hangli";"01.07.99";79;3;76;4;72;0,052631579
"1022";"Sal31";"Hangli";"1999SZ24Hangli";"30.06.99";21;12;9;0;9;0
"1023";"Sal31";"Hangli";"1999SZ25Hangli";"30.06.99";14;0;14;0;14;0
"1024";"Sal31";"Hangli";"1999SZ26Hangli";"30.06.99";8;1;7;0;7;0
"1025";"Sal31";"Hangli";"1999SZ27Hangli";"30.06.99";3;0;3;0;3;0
"1026";"Sal31";"Hangli";"1999SZ28Hangli";"08.07.99";43;39;4;0;4;0
"1027";"Sal31";"Hangli";"1999SZ29Hangli";"08.07.99";11;3;8;0;8;0
"1028";"Sal10";"Hpolit";"1999SZ30Hpolit";"05.07.99";25;5;20;0;20;0
"1029";"Sal31";"Hangli";"1999SZ31Hangli";"08.07.99";20;14;6;0;6;0
"1030";"Sal39";"Hangli";"1999SZ32Hangli";"08.07.99";16;9;7;0;7;0
"1031";"Sal31";"Hangli";"1999SZ33Hangli";"08.07.99";2;1;1;0;1;0
"1032";"Sal11";"Hoblit";"1999SZ34Hoblit";"05.07.99";5;0;5;0;5;0
"1033";"Sal11";"Hoblit";"1999SZ35Hoblit";"05.07.99";22;2;20;0;20;0
